Country Name,Country Code,Series Name,Series Code,1993 [YR1993],1997 [YR1997],2001 [YR2001],2005 [YR2005],2009 [YR2009],2013 [YR2013],2017 [YR2017],2020 [YR2020]
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,938632612.026359,972896267.915425,876794723.068586,1117113045.65222,1781455092.07114,2451606684.31708,2712324087.2789,2780510624.64184
Burundi,BDI,"Population, total",SP.POP.TOTL,5798054,6122130,6525546,7364857,8397661,9540302,10827010,11890781
Burundi,BDI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,111.526306763262,93.1965491004392,85.4923160106577,83.9307889376133,115.808088283463,179.96134642416,172.690074473516,173.568274140071
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,490417389.682569,490608657.924976,563024383.296626,971977088.156914,1711817181.52969,1850470042.43281,1769787215.42141,1703698676.69742
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,366057,404248,435701,463034,486667,511740,537499,555988
Cabo Verde,CPV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1182.34223926039,1052.63961735809,1107.55710243928,1749.39584892935,2970.86545053729,3044.54566840165,2768.4241131708,2587.93498276979
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,2533727592.04165,3443413388.6909,3984000517.02345,6293046161.83262,10401851850.6108,15227991395.2201,22177200511.5811,25872798012.1938
Cambodia,KHM,"Population, total",SP.POP.TOTL,9970727,11298594,12405411,13273355,14093605,15026330,16009413,16718971
Cambodia,KHM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,282.23890466177,287.017891978899,419.448546512202,644.70822462431,884.326026899576,1161.74669857202,1319.76944290778
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,16181813512.4483,10789457915.0457,10953485244.4239,19509850837.2745,27932971683.4215,33728622819.0912,36098550141.5897,40804449726.0184
Cameroon,CMR,"Population, total",SP.POP.TOTL,12864091,14344444,15928910,17733408,19789922,22077300,24566070,26545864
Cameroon,CMR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1031.60855864282,578.659581444143,542.809335172484,881.54565274893,1142.38702540397,1193.17298621703,1182.45650985017,1269.22305584506
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,577170761956.438,654986999855.554,738981792355.372,1173108598778.68,1374625142157.29,1846597421834.98,1649265644244.09,1645423407568.36
Canada,CAN,"Population, total",SP.POP.TOTL,28684764,29905948,31020902,32243753,33628895,35082954,36545236,38037204
Canada,CAN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,16106.0554156968,17507.5524472835,18872.0377886201,29608.4342827203,32974.4715661154,43061.3107163696,36956.0805026401,35025.272804657
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,4281868765.92454,4405954696.16336,5166467286.75345,5608989195.5292
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,29068,36155,43934,49261,55321,59933,63382,65720
Cayman Islands,CYM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1278781166.72188,937741468.029676,932648604.420575,1337894379.62649,2067381663.75378,1691544192.38242,2072349974.15272,2326720920.59223
Central African Republic,CAF,"Population, total",SP.POP.TOTL,3046148,3392432,3722016,4038380,4337623,4447945,4596023,4829764
Central African Republic,CAF,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,363.759340741379,244.170690468163,227.186632751369,303.836842060507,434.538403999243,315.447545881473,387.438392777673,400.903315593269
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1463251055.40068,1544689502.82472,1710843360.64955,6649307057.03314,9290728773.35723,12953535495.8781,10000395242.1457,10715396135.4168
Chad,TCD,"Population, total",SP.POP.TOTL,6563925,7503494,8678049,10096630,11560142,13220433,15016761,16425859
Chad,TCD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,189.02607828325,170.900092919519,171.081465725608,346.532995161788,592.679763001374,696.563214498654,453.018046535318,457.056964112231
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,..,..,6233310060.38969,8827299477.20007,..,..,..,..
Channel Islands,CHI,"Population, total",SP.POP.TOTL,142407,145387,149097,151674,158187,163039,168666,173859
Channel Islands,CHI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,49297773130.1185,85728899954.449,71517080040.6338,122314960843.922,171412642047.328,277239461340.404,276364933679.626,252727193710.018
Chile,CHL,"Population, total",SP.POP.TOTL,13944934,14786227,15516112,16182713,16886184,17571511,18470435,19116209
Chile,CHL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2895.1500594778,4689.90232436703,3740.08662397494,5506.72358885555,7708.5523530472,12395.9715270702,11758.1359435913,10351.7147539597
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,444731282435.515,961603952954.233,1339395718862.89,2285965892364.2,5101703073088.97,9570406235659.64,12310409370894.2,14687673892882
China,CHN,"Population, total",SP.POP.TOTL,1178440000,1230075000,1271850000,1303720000,1331260000,1363240000,1396215000,1411100000
China,CHN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,328.209009227747,666.327314820462,877.191661342729,1435.42801696798,3058.79134443733,5273.5720204832,6714.78578265827,7572.28183087988
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,66446804802.5747,106659508271.255,98211749595.5442,145619191582.061,232397835678.336,382116126448.554,311883730690.129,270299982887.01
Colombia,COL,"Population, total",SP.POP.TOTL,35091272,37723803,40255956,42647731,44750054,46495492,48909844,50882884
Colombia,COL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1600.02476456049,2346.68597947659,1983.65447931591,2730.14414796164,4204.00544921005,6474.40789632844,5304.66904664084,4469.15591964286
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,452881443.084162,364445589.702365,378512003.405071,653845122.872074,905341090.570115,1116224161.07781,1077439662.5798,1223876064.52345
Comoros,COM,"Population, total",SP.POP.TOTL,449270,501955,555895,611625,673251,741511,813890,869595
Comoros,COM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,936.839685605231,657.235408719794,624.691706937456,980.492064785937,1227.77233043432,1357.90943936253,1199.99781192598,1275.733082525
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,10706246370.9325,6090840548.18784,7438189100.33333,11964484667.9102,18648373312.4241,32679745297.6453,38019265625.8845,48716960860.0664
