,Country Name,Country Code,Series Name,YR1993,YR1997,YR2001,YR2005,YR2009,YR2013,YR2017,YR2020
73,Bosnia and Herzegovina,BIH,POP,4078940,3736070,3755514,3765332,3735945,3542598,3351534,3280815
74,Bosnia and Herzegovina,BIH,INC,..,852.68143018661,1525.77099368377,2783.52944098993,4274.38478355139,4322.44739998905,4487.34437795547,5059.27672498212
75,Botswana,BWA,GDP,4160086253.1468,5020214747.45261,5489608299.66445,9918907108.09702,10267133177.7334,14901750991.2012,16088437675.1648,14930072799.0084
76,Botswana,BWA,POP,1399110,1540424,1674674,1799077,1953495,2062551,2205076,2351625
77,Botswana,BWA,INC,2750.85655274153,2725.6927091494,2834.36148478168,3957.42437189867,3865.97411912168,5288.0112661205,5763.35758596366,5015.65053478786
78,Brazil,BRA,GDP,368295777770.079,883206452795.124,559983704094.17,891633826603.377,1666996294372.87,2472819362216.69,2063514688761.98,1448565936739.56
79,Brazil,BRA,POP,156849086,167209046,177196051,186127108,193886505,201035904,207833825,212559409
80,Brazil,BRA,INC,2032.88656301485,4576.16441262023,2697.89584128276,4042.42457022932,7405.96730913939,10617.9076372047,8574.77696864069,5801.14483388571
81,British Virgin Islands,VGB,GDP,..,..,..,..,..,..,..,..
82,British Virgin Islands,VGB,POP,18783,19660,20675,23106,27035,28850,29567,30237
83,British Virgin Islands,VGB,INC,..,..,..,..,..,..,..,..
84,Brunei Darussalam,BRN,GDP,4105706151.75145,5197332974.13793,5601090584.36122,9531402847.87311,10732366286.2643,18093829923.2737,12128104859.1498,12005825769.5087
85,Brunei Darussalam,BRN,POP,281684,311962,340037,365112,383902,404414,424481,437483
86,Brunei Darussalam,BRN,INC,11428.4265182542,12987.0857876602,12117.6594998652,17787.1362540808,21426.5380409241,33604.5358678382,24386.1914550722,22332.3775024966
87,Bulgaria,BGR,GDP,10829710144.9275,11315986087.1633,14183497963.1071,29869283400.0381,52023504656.2878,55810138436.4821,59199447421.4924,69889347433.4324
88,Bulgaria,BGR,POP,8472313,8312068,8009142,7658972,7444443,7265115,7075947,6934015
89,Bulgaria,BGR,INC,1079.86944342138,1231.08788515255,1546.33251774678,3322.1289530834,5759.73128062308,6421.40970851494,6971.01876209471,8440.09964865379
90,Burkina Faso,BFA,GDP,3199536227.94818,2447668984.53131,3190371050.45524,6146352742.03313,9450697335.53565,13444301139.1384,14106956830.0857,17933606353.1775
91,Burkina Faso,BFA,POP,9552473,10665552,11944589,13421935,15141098,17072791,19193236,20903278
92,Burkina Faso,BFA,INC,307.860278968929,210.769836873852,249.222568656849,420.245179389313,557.050888135915,680.496599984917,635.405871846024,701.500513174895
93,Burundi,BDI,GDP,938632612.026359,972896267.915425,876794723.068586,1117113045.65222,1781455092.07114,2451606684.31708,2712324087.2789,2780510624.64184
94,Burundi,BDI,POP,5798054,6122130,6525546,7364857,8397661,9540302,10827010,11890781
95,Burundi,BDI,INC,111.526306763262,93.1965491004392,85.4923160106577,83.9307889376133,115.808088283463,179.96134642416,172.690074473516,173.568274140071
96,Cabo Verde,CPV,GDP,490417389.682569,490608657.924976,563024383.296626,971977088.156914,1711817181.52969,1850470042.43281,1769787215.42141,1703698676.69742
97,Cabo Verde,CPV,POP,366057,404248,435701,463034,486667,511740,537499,555988
98,Cabo Verde,CPV,INC,1182.34223926039,1052.63961735809,1107.55710243928,1749.39584892935,2970.86545053729,3044.54566840165,2768.4241131708,2587.93498276979
99,Cambodia,KHM,GDP,2533727592.04165,3443413388.6909,3984000517.02345,6293046161.83262,10401851850.6108,15227991395.2201,22177200511.5811,25872798012.1938
100,Cambodia,KHM,POP,9970727,11298594,12405411,13273355,14093605,15026330,16009413,16718971
101,Cambodia,KHM,INC,..,282.23890466177,287.017891978899,419.448546512202,644.70822462431,884.326026899576,1161.74669857202,1319.76944290778
102,Cameroon,CMR,GDP,16181813512.4483,10789457915.0457,10953485244.4239,19509850837.2745,27932971683.4215,33728622819.0912,36098550141.5897,40804449726.0184
103,Cameroon,CMR,POP,12864091,14344444,15928910,17733408,19789922,22077300,24566070,26545864
104,Cameroon,CMR,INC,1031.60855864282,578.659581444143,542.809335172484,881.54565274893,1142.38702540397,1193.17298621703,1182.45650985017,1269.22305584506
105,Canada,CAN,GDP,577170761956.438,654986999855.554,738981792355.372,1173108598778.68,1374625142157.29,1846597421834.98,1649265644244.09,1645423407568.36
106,Canada,CAN,POP,28684764,29905948,31020902,32243753,33628895,35082954,36545236,38037204
107,Canada,CAN,INC,16106.0554156968,17507.5524472835,18872.0377886201,29608.4342827203,32974.4715661154,43061.3107163696,36956.0805026401,35025.272804657
108,Cayman Islands,CYM,GDP,..,..,..,..,4281868765.92454,4405954696.16336,5166467286.75345,5608989195.5292
109,Cayman Islands,CYM,POP,29068,36155,43934,49261,55321,59933,63382,65720
110,Cayman Islands,CYM,INC,..,..,..,..,..,..,..,..
111,Central African Republic,CAF,GDP,1278781166.72188,937741468.029676,932648604.420575,1337894379.62649,2067381663.75378,1691544192.38242,2072349974.15272,2326720920.59223
112,Central African Republic,CAF,POP,3046148,3392432,3722016,4038380,4337623,4447945,4596023,4829764
113,Central African Republic,CAF,INC,363.759340741379,244.170690468163,227.186632751369,303.836842060507,434.538403999243,315.447545881473,387.438392777673,400.903315593269
114,Chad,TCD,GDP,1463251055.40068,1544689502.82472,1710843360.64955,6649307057.03314,9290728773.35723,12953535495.8781,10000395242.1457,10715396135.4168
115,Chad,TCD,POP,6563925,7503494,8678049,10096630,11560142,13220433,15016761,16425859
116,Chad,TCD,INC,189.02607828325,170.900092919519,171.081465725608,346.532995161788,592.679763001374,696.563214498654,453.018046535318,457.056964112231
117,Channel Islands,CHI,GDP,..,..,6233310060.38969,8827299477.20007,..,..,..,..
118,Channel Islands,CHI,POP,142407,145387,149097,151674,158187,163039,168666,173859
119,Channel Islands,CHI,INC,..,..,..,..,..,..,..,..
120,Chile,CHL,GDP,49297773130.1185,85728899954.449,71517080040.6338,122314960843.922,171412642047.328,277239461340.404,276364933679.626,252727193710.018
121,Chile,CHL,POP,13944934,14786227,15516112,16182713,16886184,17571511,18470435,19116209
122,Chile,CHL,INC,2895.1500594778,4689.90232436703,3740.08662397494,5506.72358885555,7708.5523530472,12395.9715270702,11758.1359435913,10351.7147539597
123,China,CHN,GDP,444731282435.515,961603952954.233,1339395718862.89,2285965892364.2,5101703073088.97,9570406235659.64,12310409370894.2,14687673892882
124,China,CHN,POP,1178440000,1230075000,1271850000,1303720000,1331260000,1363240000,1396215000,1411100000
125,China,CHN,INC,328.209009227747,666.327314820462,877.191661342729,1435.42801696798,3058.79134443733,5273.5720204832,6714.78578265827,7572.28183087988
126,Colombia,COL,GDP,66446804802.5747,106659508271.255,98211749595.5442,145619191582.061,232397835678.336,382116126448.554,311883730690.129,270299982887.01
127,Colombia,COL,POP,35091272,37723803,40255956,42647731,44750054,46495492,48909844,50882884
128,Colombia,COL,INC,1600.02476456049,2346.68597947659,1983.65447931591,2730.14414796164,4204.00544921005,6474.40789632844,5304.66904664084,4469.15591964286
129,Comoros,COM,GDP,452881443.084162,364445589.702365,378512003.405071,653845122.872074,905341090.570115,1116224161.07781,1077439662.5798,1223876064.52345
130,Comoros,COM,POP,449270,501955,555895,611625,673251,741511,813890,869595
131,Comoros,COM,INC,936.839685605231,657.235408719794,624.691706937456,980.492064785937,1227.77233043432,1357.90943936253,1199.99781192598,1275.733082525
132,"Congo, Dem. Rep.",COD,GDP,10706246370.9325,6090840548.18784,7438189100.33333,11964484667.9102,18648373312.4241,32679745297.6453,38019265625.8845,48716960860.0664
133,"Congo, Dem. Rep.",COD,POP,38815835,43827191,48428534,54785894,62448572,71358804,81398765,89561404
134,"Congo, Dem. Rep.",COD,INC,..,69.3585419278733,98.7815883154359,144.821089853789,188.069574360096,307.025156509236,336.802722568191,432.026249438327
135,"Congo, Rep.",COG,GDP,2684323618.40365,2322719101.28455,2796704603.04443,6650001684.9045,9723299908.19473,17958720704.4596,11094823676.5914,10483151093.6873
136,"Congo, Rep.",COG,POP,2559880,2867283,3217930,3622775,4145400,4622757,5110701,5518092
137,"Congo, Rep.",COG,INC,348.471600080626,145.284757029663,133.396323787719,346.292040360505,1012.90114241706,2124.55945697013,954.844936147622,711.986579199252
138,Costa Rica,CRI,GDP,9582866263.11706,12614602382.2012,15976174336.9721,20040642476.9817,30745712006.5307,50949672205.9168,60516043590.1832,62158002233.0279
139,Costa Rica,CRI,POP,3372298,3718952,4034074,4285504,4520739,4742111,4949955,5094114
140,Costa Rica,CRI,INC,2612.39590204878,3173.73633010886,3547.73595905796,4199.83425700058,6175.89886987112,9778.64952006204,10929.6396226226,10700.43143027
141,Cote d'Ivoire,CIV,GDP,11045759468.9412,18047557171.7483,16810536883.7177,24036917016.59,33886814907.0346,42760237561.4396,51588158717.5348,61348579465.1017
142,Cote d'Ivoire,CIV,POP,13271638,15130674,16853027,18354513,20059147,22087506,24437475,26378275
143,Cote d'Ivoire,CIV,INC,674.838726280788,669.363014698473,544.467023304357,816.185233944333,1090.73065722881,1279.13308288586,1951.00703124346,2170.85067427399
