,Year,Datetime,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals
47,1938,12 Jun 1938 - 17:00 ,Italy,France,3.0,1.0
48,1938,14 Jun 1938 - 18:00 ,Brazil,Czechoslovakia,2.0,1.0
49,1938,16 Jun 1938 - 18:00 ,Hungary,Sweden,5.0,1.0
50,1938,16 Jun 1938 - 18:00 ,Italy,Brazil,2.0,1.0
51,1938,19 Jun 1938 - 17:00 ,Brazil,Sweden,4.0,2.0
52,1938,19 Jun 1938 - 17:00 ,Italy,Hungary,4.0,2.0
53,1950,24 Jun 1950 - 15:00 ,Brazil,Mexico,4.0,0.0
54,1950,25 Jun 1950 - 15:00 ,England,Chile,2.0,0.0
55,1950,25 Jun 1950 - 15:00 ,Spain,USA,3.0,1.0
56,1950,25 Jun 1950 - 15:00 ,Sweden,Italy,3.0,2.0
57,1950,25 Jun 1950 - 15:00 ,Yugoslavia,Switzerland,3.0,0.0
58,1950,28 Jun 1950 - 15:00 ,Brazil,Switzerland,2.0,2.0
59,1950,28 Jun 1950 - 15:00 ,Yugoslavia,Mexico,4.0,1.0
60,1950,29 Jun 1950 - 15:00 ,Spain,Chile,2.0,0.0
61,1950,29 Jun 1950 - 15:30 ,Sweden,Paraguay,2.0,2.0
62,1950,29 Jun 1950 - 15:00 ,USA,England,1.0,0.0
63,1950,01 Jul 1950 - 15:00 ,Brazil,Yugoslavia,2.0,0.0
64,1950,02 Jul 1950 - 15:00 ,Spain,England,1.0,0.0
65,1950,02 Jul 1950 - 15:00 ,Italy,Paraguay,2.0,0.0
66,1950,02 Jul 1950 - 15:00 ,Uruguay,Bolivia,8.0,0.0
67,1950,02 Jul 1950 - 15:40 ,Switzerland,Mexico,2.0,1.0
68,1950,02 Jul 1950 - 15:00 ,Chile,USA,5.0,2.0
69,1950,09 Jul 1950 - 15:00 ,Uruguay,Spain,2.0,2.0
70,1950,09 Jul 1950 - 15:00 ,Brazil,Sweden,7.0,1.0
71,1950,13 Jul 1950 - 15:00 ,Brazil,Spain,6.0,1.0
72,1950,13 Jul 1950 - 15:00 ,Uruguay,Sweden,3.0,2.0
73,1950,16 Jul 1950 - 15:00 ,Sweden,Spain,3.0,1.0
74,1950,16 Jul 1950 - 15:00 ,Uruguay,Brazil,2.0,1.0
75,1954,16 Jun 1954 - 18:00 ,Uruguay,Czechoslovakia,2.0,0.0
76,1954,16 Jun 1954 - 18:00 ,Austria,Scotland,1.0,0.0
77,1954,16 Jun 1954 - 18:00 ,Brazil,Mexico,5.0,0.0
78,1954,16 Jun 1954 - 18:00 ,Yugoslavia,France,1.0,0.0
79,1954,17 Jun 1954 - 18:00 ,Germany FR,Turkey,4.0,1.0
80,1954,17 Jun 1954 - 18:00 ,Hungary,Korea Republic,9.0,0.0
81,1954,17 Jun 1954 - 18:10 ,England,Belgium,4.0,4.0
82,1954,17 Jun 1954 - 17:50 ,Switzerland,Italy,2.0,1.0
83,1954,19 Jun 1954 - 16:50 ,Uruguay,Scotland,7.0,0.0
84,1954,19 Jun 1954 - 17:00 ,Austria,Czechoslovakia,5.0,0.0
85,1954,19 Jun 1954 - 17:10 ,France,Mexico,3.0,2.0
86,1954,19 Jun 1954 - 17:00 ,Brazil,Yugoslavia,1.0,1.0
87,1954,20 Jun 1954 - 16:50 ,Hungary,Germany FR,8.0,3.0
88,1954,20 Jun 1954 - 17:00 ,Turkey,Korea Republic,7.0,0.0
89,1954,20 Jun 1954 - 17:10 ,England,Switzerland,2.0,0.0
90,1954,20 Jun 1954 - 17:00 ,Italy,Belgium,4.0,1.0
91,1954,23 Jun 1954 - 18:00 ,Germany FR,Turkey,7.0,2.0
92,1954,23 Jun 1954 - 18:00 ,Switzerland,Italy,4.0,1.0
93,1954,26 Jun 1954 - 17:00 ,Uruguay,England,4.0,2.0
94,1954,26 Jun 1954 - 17:00 ,Austria,Switzerland,7.0,5.0
95,1954,27 Jun 1954 - 17:00 ,Germany FR,Yugoslavia,2.0,0.0
96,1954,27 Jun 1954 - 17:00 ,Hungary,Brazil,4.0,2.0
97,1954,30 Jun 1954 - 18:00 ,Germany FR,Austria,6.0,1.0
98,1954,30 Jun 1954 - 18:00 ,Hungary,Uruguay,4.0,2.0
99,1954,03 Jul 1954 - 17:00 ,Austria,Uruguay,3.0,1.0
100,1954,04 Jul 1954 - 17:00 ,Germany FR,Hungary,3.0,2.0
101,1958,08 Jun 1958 - 14:00 ,Sweden,Mexico,3.0,0.0
102,1958,08 Jun 1958 - 19:00 ,Soviet Union,England,2.0,2.0
103,1958,08 Jun 1958 - 19:00 ,Argentina,Germany FR,1.0,3.0
104,1958,08 Jun 1958 - 19:00 ,Hungary,Wales,1.0,1.0
105,1958,08 Jun 1958 - 19:00 ,France,Paraguay,7.0,3.0
106,1958,08 Jun 1958 - 19:00 ,Yugoslavia,Scotland,1.0,1.0
107,1958,08 Jun 1958 - 19:00 ,Brazil,Austria,3.0,0.0
108,1958,08 Jun 1958 - 19:00 ,Northern Ireland,Czechoslovakia,1.0,0.0
109,1958,11 Jun 1958 - 19:00 ,Brazil,England,0.0,0.0
110,1958,11 Jun 1958 - 19:00 ,Mexico,Wales,1.0,1.0
111,1958,11 Jun 1958 - 19:00 ,Paraguay,Scotland,3.0,2.0
112,1958,11 Jun 1958 - 19:00 ,Yugoslavia,France,3.0,2.0
113,1958,11 Jun 1958 - 19:00 ,Soviet Union,Austria,2.0,0.0
114,1958,11 Jun 1958 - 19:00 ,Germany FR,Czechoslovakia,2.0,2.0
115,1958,11 Jun 1958 - 19:00 ,Argentina,Northern Ireland,3.0,1.0
116,1958,12 Jun 1958 - 19:00 ,Sweden,Hungary,2.0,1.0
117,1958,15 Jun 1958 - 14:00 ,Sweden,Wales,0.0,0.0
118,1958,15 Jun 1958 - 19:00 ,Brazil,Soviet Union,2.0,0.0
119,1958,15 Jun 1958 - 19:00 ,Germany FR,Northern Ireland,2.0,2.0
120,1958,15 Jun 1958 - 19:00 ,Hungary,Mexico,4.0,0.0
121,1958,15 Jun 1958 - 19:00 ,Paraguay,Yugoslavia,3.0,3.0
122,1958,15 Jun 1958 - 19:00 ,France,Scotland,2.0,1.0
123,1958,15 Jun 1958 - 19:00 ,England,Austria,2.0,2.0
124,1958,15 Jun 1958 - 19:00 ,Czechoslovakia,Argentina,6.0,1.0
125,1958,17 Jun 1958 - 19:00 ,Soviet Union,England,1.0,0.0
126,1958,17 Jun 1958 - 19:00 ,Northern Ireland,Czechoslovakia,2.0,1.0
127,1958,17 Jun 1958 - 19:00 ,Wales,Hungary,2.0,1.0
128,1958,19 Jun 1958 - 19:00 ,Brazil,Wales,1.0,0.0
129,1958,19 Jun 1958 - 19:00 ,Germany FR,Yugoslavia,1.0,0.0
130,1958,19 Jun 1958 - 19:00 ,Sweden,Soviet Union,2.0,0.0
131,1958,19 Jun 1958 - 19:00 ,France,Northern Ireland,4.0,0.0
132,1958,24 Jun 1958 - 19:00 ,Sweden,Germany FR,3.0,1.0
133,1958,24 Jun 1958 - 19:00 ,Brazil,France,5.0,2.0
134,1958,28 Jun 1958 - 17:00 ,France,Germany FR,6.0,3.0
135,1958,29 Jun 1958 - 15:00 ,Brazil,Sweden,5.0,2.0
136,1962,30 May 1962 - 15:00 ,Uruguay,Colombia,2.0,1.0
137,1962,30 May 1962 - 15:00 ,Brazil,Mexico,2.0,0.0
138,1962,30 May 1962 - 15:00 ,Argentina,Bulgaria,1.0,0.0
139,1962,30 May 1962 - 15:00 ,Chile,Switzerland,3.0,1.0
140,1962,31 May 1962 - 15:00 ,Soviet Union,Yugoslavia,2.0,0.0
141,1962,31 May 1962 - 15:00 ,Czechoslovakia,Spain,1.0,0.0
142,1962,31 May 1962 - 15:00 ,Hungary,England,2.0,1.0
143,1962,31 May 1962 - 15:00 ,Germany FR,Italy,0.0,0.0
144,1962,02 Jun 1962 - 15:00 ,Yugoslavia,Uruguay,3.0,1.0
145,1962,02 Jun 1962 - 15:00 ,Brazil,Czechoslovakia,0.0,0.0
146,1962,02 Jun 1962 - 15:00 ,England,Argentina,3.0,1.0
147,1962,02 Jun 1962 - 15:00 ,Chile,Italy,2.0,0.0
148,1962,03 Jun 1962 - 15:00 ,Soviet Union,Colombia,4.0,4.0
149,1962,03 Jun 1962 - 15:00 ,Spain,Mexico,1.0,0.0
150,1962,03 Jun 1962 - 15:00 ,Hungary,Bulgaria,6.0,1.0
151,1962,03 Jun 1962 - 15:00 ,Germany FR,Switzerland,2.0,1.0
152,1962,06 Jun 1962 - 15:00 ,Soviet Union,Uruguay,2.0,1.0
153,1962,06 Jun 1962 - 15:00 ,Brazil,Spain,2.0,1.0
154,1962,06 Jun 1962 - 15:00 ,Hungary,Argentina,0.0,0.0
155,1962,06 Jun 1962 - 15:00 ,Germany FR,Chile,2.0,0.0
156,1962,07 Jun 1962 - 15:00 ,Yugoslavia,Colombia,5.0,0.0
157,1962,07 Jun 1962 - 15:00 ,Mexico,Czechoslovakia,3.0,1.0
158,1962,07 Jun 1962 - 15:00 ,England,Bulgaria,0.0,0.0
159,1962,07 Jun 1962 - 15:00 ,Italy,Switzerland,3.0,0.0
160,1962,10 Jun 1962 - 14:30 ,Chile,Soviet Union,2.0,1.0
161,1962,10 Jun 1962 - 14:30 ,Brazil,England,3.0,1.0
162,1962,10 Jun 1962 - 14:30 ,Czechoslovakia,Hungary,1.0,0.0
163,1962,10 Jun 1962 - 14:30 ,Yugoslavia,Germany FR,1.0,0.0
164,1962,13 Jun 1962 - 14:30 ,Czechoslovakia,Yugoslavia,3.0,1.0
165,1962,13 Jun 1962 - 14:30 ,Brazil,Chile,4.0,2.0
166,1962,16 Jun 1962 - 14:30 ,Chile,Yugoslavia,1.0,0.0
167,1962,17 Jun 1962 - 14:30 ,Brazil,Czechoslovakia,3.0,1.0
168,1966,11 Jul 1966 - 19:30 ,England,Uruguay,0.0,0.0
169,1966,12 Jul 1966 - 19:30 ,Germany FR,Switzerland,5.0,0.0
170,1966,12 Jul 1966 - 19:30 ,Brazil,Bulgaria,2.0,0.0
171,1966,12 Jul 1966 - 19:30 ,Soviet Union,Korea DPR,3.0,0.0
172,1966,13 Jul 1966 - 19:30 ,France,Mexico,1.0,1.0
173,1966,13 Jul 1966 - 19:30 ,Portugal,Hungary,3.0,1.0
174,1966,13 Jul 1966 - 19:30 ,Argentina,Spain,2.0,1.0
175,1966,13 Jul 1966 - 19:30 ,Italy,Chile,2.0,0.0
176,1966,15 Jul 1966 - 19:30 ,Uruguay,France,2.0,1.0
177,1966,15 Jul 1966 - 19:30 ,Spain,Switzerland,2.0,1.0
178,1966,15 Jul 1966 - 19:30 ,Hungary,Brazil,3.0,1.0
179,1966,15 Jul 1966 - 19:30 ,Korea DPR,Chile,1.0,1.0
180,1966,16 Jul 1966 - 15:00 ,Portugal,Bulgaria,3.0,0.0
181,1966,16 Jul 1966 - 15:00 ,Germany FR,Argentina,0.0,0.0
182,1966,16 Jul 1966 - 15:00 ,Soviet Union,Italy,1.0,0.0
183,1966,16 Jul 1966 - 19:30 ,England,Mexico,2.0,0.0
184,1966,19 Jul 1966 - 16:30 ,Uruguay,Mexico,0.0,0.0
185,1966,19 Jul 1966 - 19:30 ,Argentina,Switzerland,2.0,0.0
186,1966,19 Jul 1966 - 19:30 ,Portugal,Brazil,3.0,1.0
187,1966,19 Jul 1966 - 19:30 ,Korea DPR,Italy,1.0,0.0
188,1966,20 Jul 1966 - 19:30 ,England,France,2.0,0.0
189,1966,20 Jul 1966 - 19:30 ,Hungary,Bulgaria,3.0,1.0
190,1966,20 Jul 1966 - 19:30 ,Germany FR,Spain,2.0,1.0
191,1966,20 Jul 1966 - 19:30 ,Soviet Union,Chile,2.0,1.0
192,1966,23 Jul 1966 - 15:00 ,England,Argentina,1.0,0.0
193,1966,23 Jul 1966 - 15:00 ,Germany FR,Uruguay,4.0,0.0
194,1966,23 Jul 1966 - 15:00 ,Soviet Union,Hungary,2.0,1.0
195,1966,23 Jul 1966 - 15:00 ,Portugal,Korea DPR,5.0,3.0
196,1966,25 Jul 1966 - 19:30 ,Germany FR,Soviet Union,2.0,1.0
197,1966,26 Jul 1966 - 19:30 ,England,Portugal,2.0,1.0
198,1966,28 Jul 1966 - 19:30 ,Portugal,Soviet Union,2.0,1.0
199,1966,30 Jul 1966 - 15:00 ,England,Germany FR,4.0,2.0
200,1970,31 May 1970 - 12:00 ,Mexico,Soviet Union,0.0,0.0
